area_type,availability,location,size,bhk,total_sqft,bath,balcony,price,
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,2,"1,185.00",2,2,75,
Super built-up  Area,20-Dec,Padmanabhanagar,3 BHK,3,"2,051.00",3,1,180,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,404.00",2,1,72,
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2,"1,252.00",2,1,67,
Super built-up  Area,18-Mar,Bannerghatta Road,3 BHK,3,"1,885.00",3,1,125,
Built-up  Area,Ready To Move,Kaikondrahalli,6 BHK,6,"3,381.00",6,3,225,
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,980.00,2,2,42,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,"2,500.00",3,3,340,
Super built-up  Area,19-Jan,Banashankari,3 BHK,3,"1,420.00",3,1,66,
Plot  Area,Ready To Move,Medahalli,6 Bedroom,6,"1,166.00",6,0,135,
Built-up  Area,Ready To Move,"Banasawadi, ",3 BHK,3,"2,312.00",3,2,156,
Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,4,"3,000.00",4,0,130,
Built-up  Area,Ready To Move,Jayamahal,2 BHK,2,"1,175.00",2,1,70,
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,2,"1,145.00",2,2,51,
Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,2,970.00,2,1,52.5,
Built-up  Area,18-Dec,Electronic City,2 BHK,2,"1,125.00",2,1,32.49,
Super built-up  Area,19-Sep,Whitefield,3 BHK,3,"1,639.50",3,0,92.63,
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,4,"5,000.00",4,0,300,
Built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,3,"2,150.00",3,3,240,
Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,3,"1,635.00",3,1,57,
Built-up  Area,Ready To Move,Harlur,3 Bedroom,3,"3,425.00",3,1,320,
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,4,"2,950.00",4,3,253,
Super built-up  Area,18-Dec,Jalahalli,1 BHK,1,"1,200.00",2,1,66,
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,3,"1,335.00",2,2,73.43,
Super built-up  Area,Ready To Move,Hebbal,4 BHK,4,"4,450.00",6,0,449,
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,2,"1,166.00",2,1,64.08,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,"2,390.00",3,1,372,
Super built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,3,"1,460.00",2,1,90,
Super built-up  Area,Ready To Move,Gulimangala,3 BHK,3,"1,690.00",3,3,50,
Plot  Area,Ready To Move,Nagashetty Halli,4 Bedroom,4,"1,386.00",3,2,93,
Super built-up  Area,Ready To Move,Devasandra Extension,2 BHK,2,"1,090.00",2,2,32,
Super built-up  Area,21-Dec,Thanisandra,3 BHK,3,"1,732.00",3,1,85.73,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,390.00",2,1,72,
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,2,"1,095.00",2,1,85.41,
Super built-up  Area,19-Dec,Kengeri,1 BHK,1,416.00,1,1,17.19,
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,3,"2,400.00",2,3,50,
Built-up  Area,Ready To Move,Yelahanka,3 BHK,3,"1,350.00",2,3,85,
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,3,"1,453.00",2,2,73,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,"1,226.00",2,1,65,
Plot  Area,Ready To Move,Kasturi Nagar,4 Bedroom,4,784.00,2,2,165,
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3,"1,168.00",2,1,68,
Super built-up  Area,19-Dec,Bannerghatta,3 BHK,3,"1,776.00",3,2,124,
Built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,634.00",3,2,68,
Plot  Area,Ready To Move,Hormavu,2 Bedroom,2,860.00,2,0,56,
Plot  Area,Ready To Move,Kamala Nagar,3 Bedroom,3,"2,800.00",3,1,400,
Super built-up  Area,Ready To Move,Nagasandra,3 BHK,3,"1,650.00",3,2,95,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,190.00",2,1,70,
Super built-up  Area,18-Aug,JP Nagar,2 BHK,2,"1,133.00",2,1,33.99,
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,3,"1,559.00",3,2,62,
Plot  Area,Ready To Move,Horamavu Banaswadi,3 Bedroom,3,"1,448.00",4,0,118,
Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,4,"6,652.00",6,1,510,
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,2,976.00,2,1,50,
Plot  Area,Ready To Move,Bank Of Baroda Colony,4 Bedroom,4,"1,350.00",4,3,240,
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,"1,590.00",2,2,54,
Super built-up  Area,19-Dec,Binny Pete,4 BHK,4,"2,940.00",6,2,201,
Built-up  Area,Ready To Move,Yelahanka,3 BHK,3,"1,633.00",3,2,110,
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,2,"1,151.00",2,2,46,
Super built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,3,"1,400.00",2,2,42,
Super built-up  Area,17-Apr,Uttarahalli,2 BHK,2,"1,037.00",2,1,36,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,"1,188.00",2,1,36,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,2,"1,060.00",2,1,52,
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,3,"2,215.00",4,2,162,
Super built-up  Area,Ready To Move,Hennur,2 BHK,2,"1,255.00",2,2,54.5,
Plot  Area,Ready To Move,Ganesha Block,3 Bedroom,3,"2,500.00",2,1,300,
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,"1,075.00",2,1,53.7,
Super built-up  Area,17-Apr,Harlur,4 BHK,4,"2,569.00",5,3,180,
Super built-up  Area,18-Dec,ITPL,2 BHK,2,900.00,2,1,27,
Super built-up  Area,18-Aug,Kudlu Gate,2 BHK,2,"1,183.00",2,1,79.54,
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,"1,100.00",2,2,44,
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,3,"1,643.00",2,2,70,
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,3,"1,500.00",2,2,120,
Super built-up  Area,Ready To Move,Jakkur,2 BHK,2,"1,291.00",2,1,75,
Plot  Area,17-Oct,Hennur,3 Bedroom,3,"1,150.00",3,2,80,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,060.00",2,1,55,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,"1,575.00",2,2,110,
Plot  Area,Ready To Move,BHEL Layout,5 Bedroom,5,"1,200.00",4,1,160,
Built-up  Area,Ready To Move,Byrathi Village,4 Bedroom,4,"1,700.00",3,2,55,
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,2,"1,236.00",2,1,58,
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,3,"1,350.00",2,2,39,
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,3,"2,475.00",4,3,326,
Built-up  Area,Ready To Move,Pai Layout,6 Bedroom,6,"3,800.00",6,0,175,
Built-up  Area,Ready To Move,Haralur Road,4 BHK,4,"4,694.00",5,0,375,
Built-up  Area,18-Dec,Electronic City,2 BHK,2,"1,200.00",2,1,34.66,
Plot  Area,Ready To Move,Hulimavu,4 Bedroom,4,"1,200.00",4,1,75,
Built-up  Area,Ready To Move,Harlur,2 BHK,2,"1,225.00",2,2,56,
Super built-up  Area,18-Apr,Thanisandra,2 BHK,2,"1,056.00",2,1,75,
Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,3,"1,240.00",2,2,42.85,
Super built-up  Area,17-Oct,Banashankari,3 BHK,3,"1,200.00",3,2,74.52,
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,3,"1,850.00",3,2,110,
Super built-up  Area,Ready To Move,Amblipura,4 BHK,4,"3,150.00",4,3,180,
Built-up  Area,Ready To Move,Naganathapura,1 Bedroom,1,"1,200.00",1,0,39.82,
Plot  Area,Ready To Move,Dodda Banaswadi,4 Bedroom,4,"1,018.00",4,1,150,
Built-up  Area,Ready To Move,Konena Agrahara,5 Bedroom,5,"3,520.00",6,1,460,
Super built-up  Area,18-Jul,Chandapura,3 BHK,3,"1,185.00",2,2,30.22,
Super built-up  Area,Ready To Move,Jigani,2 BHK,2,918.00,2,2,56,
Super built-up  Area,Ready To Move,GD Layout,3 BHK,3,"1,330.00",2,2,68,
Built-up  Area,Ready To Move,Munnekollal,3 BHK,3,"1,540.00",2,3,70,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,2,"1,200.00",2,2,80,
Super built-up  Area,18-Dec,Sunkan palya,2 BHK,2,927.00,2,2,37,
Built-up  Area,19-Jun,Sarjapur,4 Bedroom,4,"2,585.50",4,0,115,
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,3,"1,400.00",2,2,78,
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,2,"1,345.00",2,2,106,
Built-up  Area,Ready To Move,1st Phase JP Nagar,4 Bedroom,4,"1,900.00",3,1,400,
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,2,"1,510.00",2,3,80,
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,2,302.00,2,1,25,
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,1,525.00,2,0,27,
Plot  Area,18-Aug,ITPL,3 Bedroom,3,"1,500.00",3,1,61.52,
Super built-up  Area,19-Dec,Yelahanka,1 BHK,1,827.50,1,0,42.535,
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,3,"1,100.00",2,2,72,
Built-up  Area,Ready To Move,Sunkadakatte,3 Bedroom,3,"1,200.00",3,1,68,
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,3,"1,100.00",3,2,53,
Carpet  Area,19-Jun,Hormavu,4 BHK,4,"2,282.00",4,0,115,
Built-up  Area,Ready To Move,Jayanti Nagar,2 BHK,2,760.00,2,1,37.49,
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3,"2,172.00",3,0,100,
Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,6 BHK,6,"3,800.00",6,0,390,
Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,4,600.00,2,1,72,
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,3,"3,300.00",3,2,165,
Super built-up  Area,19-Mar,Thubarahalli,3 BHK,3,"1,242.00",3,1,51,
Plot  Area,Ready To Move,Moodalapalya,1 Bedroom,1,410.00,1,1,48,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,"1,245.00",2,2,43.58,
Built-up  Area,Ready To Move,Kadugodi,2 BHK,2,"1,088.00",2,2,44,
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,2,"1,200.00",2,0,46,
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,3,"1,995.00",3,1,100,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,309.00",2,1,82,
Super built-up  Area,Ready To Move,BTM 1st Stage,3 BHK,3,"1,717.00",3,2,200,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,"2,100.00",3,2,200,
Plot  Area,Ready To Move,Gayathri Nagar,2 Bedroom,2,880.00,1,0,90,
Plot  Area,Ready To Move,Abbigere,6 Bedroom,6,"1,200.00",6,1,95,
Super built-up  Area,18-Aug,Maruthi Nagar,3 BHK,3,"1,250.00",3,2,42,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3,"3,520.00",5,2,240,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,2,"1,041.00",2,2,54,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,505.00",2,2,60,
Super built-up  Area,18-Jul,Bannerghatta,3 BHK,3,"1,776.00",3,2,150,
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,"1,767.00",3,2,89,
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,2,"1,293.00",2,2,80,
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,"1,320.00",2,1,50,
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,2,"1,280.00",2,2,68.48,
Super built-up  Area,19-Mar,Thanisandra,2 BHK,2,"1,245.00",2,1,83.05,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,027.00",1,2,44,
Built-up  Area,Ready To Move,Yelenahalli,2 BHK,2,"1,200.00",2,0,46.17,
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,3,"1,100.00",3,2,58,
Plot  Area,Ready To Move,Medahalli,3 Bedroom,3,"1,065.00",3,1,72,
Super built-up  Area,21-Dec,Kannamangala,3 BHK,3,"1,814.00",3,1,129,
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,3,"1,610.00",2,1,112,
Built-up  Area,Ready To Move,Kumaraswami Layout,1 Bedroom,1,850.00,1,1,78,
Super built-up  Area,18-Jul,Kasavanhalli,3 BHK,3,"1,600.00",3,3,79,
Super built-up  Area,Ready To Move,Old Mangammanapalya Road,3 BHK,3,"3,200.00",4,2,140,
Built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,3,"1,250.00",2,1,77.13,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,243.00",2,2,46,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,452.00",3,3,60.98,
Super built-up  Area,Ready To Move,Ittamadu,3 BHK,3,"1,475.00",3,3,75,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,353.00",2,3,75,
Carpet  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,4,"2,100.00",3,0,210,
Super built-up  Area,21-Aug,Electronics City Phase 1,3 BHK,3,"1,750.00",3,2,58,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"4,800.00",4,3,550,
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,2,"1,270.00",2,1,96,
Built-up  Area,Ready To Move,Battarahalli,4 Bedroom,4,"2,700.00",3,0,75,
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,4,"1,200.00",4,2,270,
Built-up  Area,19-May,Thanisandra,4 BHK,4,"2,695.00",4,3,188,
Super built-up  Area,Ready To Move,Hessarghatta,3 BHK,3,"1,330.00",3,2,65,
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,660.00,1,0,18,
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,2,"1,400.00",2,3,90,
Built-up  Area,Ready To Move,Gubbalala,4 BHK,4,"4,000.00",5,1,195,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,700.00",3,2,75,
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,"1,585.00",2,2,90,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3,"1,385.00",3,3,67,
Super built-up  Area,18-Jul,Electronic City,2 BHK,2,"1,128.00",2,1,67,
Plot  Area,19-Oct,Whitefield,4 Bedroom,4,60.00,4,2,218,
Plot  Area,18-Apr,1Kasavanhalli,18 Bedroom,1,"1,200.00",18,0,200,
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,"1,203.00",2,2,60,
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,2,905.00,2,1,35,
Super built-up  Area,19-Mar,Hennur Road,3 BHK,3,"1,450.00",3,2,79,
Super built-up  Area,Ready To Move,Varthur,2 BHK,2,"1,105.00",2,3,38,
Plot  Area,18-Apr,Channasandra,2 Bedroom,2,"1,200.00",2,1,46.13,
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,3,"1,530.00",2,3,89,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,105.00",2,1,35.4,
Super built-up  Area,18-Jul,Dasarahalli,2 BHK,2,"1,333.00",2,1,78.56,
Built-up  Area,17-Sep,Hongasandra,2 BHK,2,"1,065.00",2,2,45,
Plot  Area,Immediate Possession,Hosur Road,,0,"1,350.00",2,0,8.44,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,243.00",2,2,46,
Super built-up  Area,18-Dec,Old Madras Road,3 BHK,3,"1,530.00",3,2,76.34,
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,2,"1,200.00",2,1,65,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,270.00",2,1,94,
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,"1,830.00",3,3,89,
Super built-up  Area,Ready To Move,Chandapura,2 BHK,2,900.00,2,3,35,
Plot  Area,Ready To Move,Attibele,4 Bedroom,4,"2,400.00",2,2,250,
Plot  Area,Ready To Move,Varsova Layout,6 Bedroom,6,"7,000.00",6,2,560,
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,3,"1,450.00",2,2,78,
Super built-up  Area,Ready To Move,J C Nagar,3 BHK,3,"1,525.00",3,3,65,
Built-up  Area,Ready To Move,Mahalakshmi Layout,2 BHK,2,"1,080.00",2,1,67,
Built-up  Area,Ready To Move,Bagalur Main Road,2 BHK,2,"1,220.00",2,2,72,
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,"1,200.00",2,2,44.4,
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,2,"1,355.00",2,0,73.17,
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,3,"2,400.00",3,0,348,
Super built-up  Area,Ready To Move,Govindapura,2 BHK,2,"1,500.00",2,2,60,
Built-up  Area,Ready To Move,Koramangala,2 BHK,2,"1,355.00",2,2,95,
Built-up  Area,17-Jul,Electronic City,2 BHK,2,"1,070.00",2,1,57,
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,3,"1,980.00",4,1,180,
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,2,842.00,2,2,30,
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,1,700.00,1,1,31.2,
Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,3,"2,500.00",4,0,65,
Built-up  Area,Ready To Move,"Kanakapura Road, ",3 Bedroom,3,"1,884.00",3,2,95,
Built-up  Area,Ready To Move,Dena Bank Colony,2 BHK,2,"1,100.00",2,2,75,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,196.00",2,2,40.54,
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,"1,820.00",3,2,85,
Plot  Area,Ready To Move,Basavanapura,8 Bedroom,8,"1,200.00",8,0,145,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,"1,185.00",2,2,43.5,
Super built-up  Area,Ready To Move,Varthur,3 BHK,3,"2,145.00",3,2,170,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,220.00",2,1,89,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,116.00",2,3,51.91,
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,2,"1,192.00",2,3,75,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,449.00",3,2,110,
Plot  Area,Ready To Move,Ardendale,3 Bedroom,3,"2,500.00",3,1,250,
Built-up  Area,Ready To Move,Electronic City,3 BHK,3,"1,700.00",3,2,90,
Super built-up  Area,18-Aug,Hebbal,3 BHK,3,"1,920.00",3,2,150,
Plot  Area,Ready To Move,BTM 4th Stage,2 Bedroom,2,"1,350.00",2,0,90,
Plot  Area,Ready To Move,Devanahalli Int. Airport,4 Bedroom,4,"4,800.00",5,2,350,
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,3,"1,700.00",3,2,74,
Super built-up  Area,19-Dec,Hoodi,2 BHK,2,"1,447.00",3,2,76,
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,2,"1,329.00",2,1,107,
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,314.00",2,2,70.44,
Plot  Area,Ready To Move,Hal old airport road,3 Bedroom,3,"1,200.00",3,2,110,
Plot  Area,Ready To Move,Basavangudi,6 Bedroom,6,"1,214.00",3,0,220,
Super built-up  Area,19-Mar,Hosa Road,3 BHK,3,"1,513.00",3,1,103,
Plot  Area,Ready To Move,arudi,3 Bedroom,3,"261,360.00",2,0,80,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,246.00",2,1,67.5,
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,1,705.00,1,1,65,
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,2,"1,220.00",2,2,62,
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,3,"1,800.00",2,1,45,
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,3,"1,400.00",3,2,75,
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,"1,245.00",2,2,80,
Super built-up  Area,Ready To Move,Anantapuram,3 BHK,3,"1,495.00",2,1,63,
Plot  Area,Ready To Move,Nagavara,3 Bedroom,3,"2,000.00",2,2,275,
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,2,996.00,2,2,36.5,
Built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,2,"1,000.00",2,1,44,
Built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,2,"1,250.00",2,3,75,
Super built-up  Area,18-Aug,Chandapura,2 BHK,2,975.00,2,1,24.86,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,261.00",2,1,80,
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,"1,080.00",2,2,46,
Super built-up  Area,Ready To Move,Akshayanagara East,2 BHK,2,"1,230.00",2,1,50,
Super built-up  Area,18-Mar,Kammasandra,2 BHK,2,982.00,2,2,25.53,
Super built-up  Area,18-May,Bommasandra,3 BHK,3,"1,260.00",3,1,49.36,
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,3,"1,590.00",2,2,135,
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2,"1,220.00",2,2,39,
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,3,"1,320.00",2,1,38.12,
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,3,"1,750.00",3,2,105,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,436.00",2,3,62.15,
Plot  Area,18-Apr,TC Palaya,3 Bedroom,3,"1,200.00",2,0,66,
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,2,"1,500.00",2,0,140,
Super built-up  Area,Ready To Move,Varthur,3 BHK,3,"1,560.00",3,2,90,
Super built-up  Area,19-Jan,Whitefield,3 BHK,3,"3,758.00",3,1,300,
Super built-up  Area,Ready To Move,Belatur,2 BHK,2,"1,275.00",2,2,59,
Super built-up  Area,Ready To Move,Ramanjaneyanagar,2 BHK,2,"1,040.00",2,2,36.4,
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,"2,400.00",3,2,115,
Plot  Area,Ready To Move,Chamrajpet,6 Bedroom,6,"1,500.00",9,3,230,
Plot  Area,18-May,Kaggalipura,4 Bedroom,4,"3,150.00",5,1,212,
Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,3,"1,960.00",3,2,165,
Super built-up  Area,Ready To Move,JP Nagar,4 BHK,4,"3,200.00",5,3,309,
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,2,"1,195.00",2,2,100,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,195.00",2,0,53.105,
Super built-up  Area,Ready To Move,Hosakerehalli,5 BHK,5,"4,500.00",5,2,145,
Plot  Area,Ready To Move,Ulsoor,3 Bedroom,3,450.00,3,1,70,
Plot  Area,18-Apr,Sathya Sai Layout,4 Bedroom,4,"4,304.00",4,2,699,
Super built-up  Area,18-Jun,Javarandoddi,1 BHK,1,648.00,1,1,40,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"2,100.00",3,2,130,
Super built-up  Area,19-Dec,Thanisandra main road,4 BHK,4,"4,209.00",4,2,602,
Super built-up  Area,Ready To Move,Kudlu,2 BHK,2,"1,027.00",2,1,44,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"1,575.00",4,3,250,
Super built-up  Area,18-May,Bommasandra,3 BHK,3,"1,365.00",3,1,52.82,
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,1,650.00,1,1,18,
Plot  Area,18-Nov,Chandapura,3 Bedroom,3,"1,200.00",2,1,52,
Super built-up  Area,Ready To Move,Cooke Town,2 BHK,2,"1,100.00",2,3,90,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,"1,075.00",2,1,57,
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,"1,100.00",2,1,63,
Super built-up  Area,Ready To Move,Akshya Nagar,3 BHK,3,"1,320.00",2,1,58,
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,3,"1,500.00",3,2,65,
Plot  Area,Ready To Move,Vijaypura,4 Bedroom,4,"1,200.00",5,1,150,
Plot  Area,Ready To Move,Bapuji Nagar,4 Bedroom,4,"1,125.00",3,2,126,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,246.00",2,1,67.5,
Super built-up  Area,18-Apr,Bhoganhalli,3 BHK,3,"1,718.00",3,2,90.2,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,"1,075.00",2,1,32,
Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,3,"1,480.00",3,1,75.48,
Super built-up  Area,Ready To Move,Austin Town,1 BHK,1,500.00,1,1,13,
Plot  Area,Ready To Move,3rd Block Banashankari,5 Bedroom,5,"2,400.00",4,1,325,
Plot  Area,18-May,Kaikondrahalli,4 Bedroom,4,"1,200.00",4,2,125,
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,"1,041.00",2,1,36.44,
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,2,"1,128.00",2,2,48.4,
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,3,"1,685.00",3,1,90,
Super built-up  Area,Ready To Move,Guddadahalli,2 BHK,2,"1,180.00",2,2,65,
Built-up  Area,Ready To Move,Ejipura,2 BHK,2,"1,200.00",2,1,60,
Super built-up  Area,18-Apr,Mangammanapalya,3 BHK,3,"1,250.00",3,2,39.5,
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,2,900.00,2,1,41,
Built-up  Area,Ready To Move,Chelekare,2 BHK,2,"1,000.00",2,1,45,
Built-up  Area,Ready To Move,Yelahanka New Town,2 Bedroom,2,600.00,2,2,80,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,4,600.00,3,2,82,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,404.00",2,1,70,
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,3,"1,610.00",2,2,115,
Super built-up  Area,18-Jul,Varthur,2 BHK,2,"1,760.00",2,1,85,
Super built-up  Area,Ready To Move,Amam Enclave Layout,2 BHK,2,975.00,2,1,55,
Built-up  Area,Ready To Move,Kashi Nagar,2 BHK,2,"1,190.00",2,2,42,
Built-up  Area,Ready To Move,Kudlu,2 BHK,2,"1,110.00",2,1,46,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,"2,415.00",3,2,399,
Super built-up  Area,18-May,Gunjur,2 BHK,2,"1,235.00",2,2,44.5,
Super built-up  Area,Ready To Move,Nanjappa Garden,2 BHK,2,"1,275.00",2,3,55,
